YYYYMMDD;HHMM;SLP;Q;S
20210101;1200;1015.6;2;1
20210102;1200;1014.3;2;1
20210103;1200;1013.8;2;1
20210104;1200;1015.0;2;1
20210105;1200;1015.9;2;1
20210106;1200;1015.0;2;1
20210107;1200;1014.4;2;1
20210108;1200;1013.9;2;1
20210109;1200;1013.3;2;1
20210110;1200;1014.0;2;1
20210111;1200;1014.2;2;1
20210112;1200;1014.2;2;1
20210113;1200;1014.7;2;1
20210114;1200;1015.1;2;1
20210115;1200;1015.2;2;1
20210116;1200;1014.6;2;1
20210117;1200;1014.5;2;1
20210118;1200;1014.7;2;1
20210119;1200;1015.7;2;1
20210120;1200;1015.6;2;1
20210121;1200;1016.2;2;1
20210122;1200;1017.8;2;1
20210123;1200;1017.3;2;1
20210124;1200;1015.7;2;1
20210125;1200;1015.1;2;1
20210126;1200;1016.1;2;1
20210127;1200;1015.7;2;1
20210128;1200;1015.1;2;1
20210129;1200;1015.6;2;1
20210130;1200;1016.5;2;1
20210131;1200;1016.0;2;1
20210201;1200;1014.7;2;1
20210202;1200;1015.3;2;1
20210203;1200;1016.0;2;1
20210204;1200;1014.4;2;1
20210205;1200;1012.6;2;1
20210206;1200;1012.8;2;1
20210207;1200;1013.5;2;1
20210208;1200;1013.4;2;1
20210209;1200;1014.3;2;1
20210210;1200;1014.8;2;1
20210211;1200;1015.1;2;1
20210212;1200;1015.3;2;1
20210213;1200;1014.5;2;1
20210214;1200;1012.8;2;1
20210215;1200;1011.6;2;1
20210216;1200;1010.8;2;1
20210217;1200;1011.1;2;1
20210218;1200;1013.1;2;1
20210219;1200;1014.3;2;1
20210220;1200;1015.7;2;1
20210221;1200;1015.5;2;1
20210222;1200;1014.8;2;1
20210223;1200;1015.1;2;1
20210224;1200;1015.2;2;1
20210225;1200;1013.8;2;1
20210226;1200;1013.6;2;1
20210227;1200;1014.7;2;1
20210228;1200;1013.7;2;1
20210301;1200;1013.1;2;1
20210302;1200;1014.7;2;1
20210303;1200;1016.8;2;1
20210304;1200;1015.9;2;1
20210305;1200;1013.3;2;1
20210306;1200;1012.4;2;1
20210307;1200;1012.9;2;1
20210308;1200;1013.0;2;1
20210309;1200;1011.7;2;1
20210310;1200;1012.1;2;1
20210311;1200;1014.1;2;1
20210312;1200;1014.8;2;1
20210313;1200;1015.2;2;1
20210314;1200;1016.0;2;1
20210315;1200;1015.5;2;1
20210316;1200;1014.3;2;1
20210317;1200;1014.0;2;1
20210318;1200;1013.8;2;1
20210319;1200;1014.8;2;1
20210320;1200;1016.8;2;1
20210321;1200;1016.7;2;1
20210322;1200;1015.2;2;1
20210323;1200;1014.8;2;1
20210324;1200;1015.2;2;1
20210325;1200;1015.6;2;1
20210326;1200;1014.8;2;1
20210327;1200;1013.3;2;1
20210328;1200;1013.1;2;1
20210329;1200;1013.2;2;1
20210330;1200;1012.2;2;1
20210331;1200;1009.9;2;1
20210401;1200;1009.8;2;1
20210402;1200;1013.0;2;1
20210403;1200;1014.6;2;1
20210404;1200;1013.9;2;1
20210405;1200;1014.1;2;1
20210406;1200;1014.3;2;1
20210407;1200;1015.1;2;1
20210408;1200;1017.5;2;1
20210409;1200;1017.7;2;1
20210410;1200;1015.7;2;1
20210411;1200;1015.0;2;1
20210412;1200;1014.6;2;1
20210413;1200;1014.6;2;1
20210414;1200;1013.8;2;1
20210415;1200;1014.4;2;1
20210416;1200;1014.2;2;1
20210417;1200;1014.8;2;1
20210418;1200;1014.4;2;1
20210419;1200;1013.2;2;1
20210420;1200;1012.3;2;1
20210421;1200;1011.3;2;1
20210422;1200;1012.2;2;1
20210423;1200;1013.3;2;1
20210424;1200;1013.4;2;1
20210425;1200;1013.1;2;1
20210426;1200;1013.8;2;1
20210427;1200;1014.0;2;1
20210428;1200;1013.9;2;1
20210429;1200;1015.4;2;1
20210430;1200;1017.4;2;1
20210501;1200;1017.2;2;1
20210502;1200;1016.8;2;1
20210503;1200;1016.3;2;1
20210504;1200;1016.1;2;1
20210505;1200;1016.4;2;1
20210506;1200;1016.0;2;1
20210507;1200;1016.5;2;1
20210508;1200;1018.4;2;1
20210509;1200;1018.3;2;1
20210510;1200;1018.1;2;1
20210511;1200;1017.0;2;1
20210512;1200;1016.9;2;1
20210513;1200;1016.5;2;1
20210514;1200;1016.2;2;1
20210515;1200;1016.7;2;1
20210516;1200;1016.9;2;1
20210517;1200;1016.5;2;1
20210518;1200;1015.0;2;1
20210519;1200;1015.4;2;1
20210520;1200;1015.8;2;1
20210521;1200;1016.2;2;1
20210522;1200;1016.3;2;1
20210523;1200;1015.3;2;1
20210524;1200;1015.1;2;1
20210525;1200;1017.4;2;1
20210526;1200;1018.1;2;1
20210527;1200;1016.6;2;1
20210528;1200;1016.4;2;1
20210529;1200;1016.7;2;1
20210530;1200;1018.0;2;1
20210531;1200;1018.1;2;1
20210601;1200;1016.1;2;1
20210602;1200;1016.4;2;1
20210603;1200;1018.3;2;1
