YYYYMMDD;HHMM;SLP;Q;S
20200101;1200;1013.3;2;1
20200102;1200;1012.7;2;1
20200103;1200;1013.0;2;1
20200104;1200;1013.2;2;1
20200105;1200;1013.3;2;1
20200106;1200;1013.5;2;1
20200107;1200;1014.4;2;1
20200108;1200;1014.3;2;1
20200109;1200;1014.3;2;1
20200110;1200;1015.1;2;1
20200111;1200;1015.0;2;1
20200112;1200;1014.9;2;1
20200113;1200;1013.9;2;1
20200114;1200;1013.6;2;1
20200115;1200;1013.9;2;1
20200116;1200;1015.6;2;1
20200117;1200;1016.2;2;1
20200118;1200;1016.4;2;1
20200119;1200;1015.1;2;1
20200120;1200;1012.7;2;1
20200121;1200;1010.7;2;1
20200122;1200;1011.2;2;1
20200123;1200;1012.3;2;1
20200124;1200;1012.1;2;1
20200125;1200;1012.3;2;1
20200126;1200;1012.6;2;1
20200127;1200;1014.1;2;1
20200128;1200;1015.3;2;1
20200129;1200;1016.1;2;1
20200130;1200;1016.3;2;1
20200131;1200;1015.9;2;1
20200201;1200;1015.2;2;1
20200202;1200;1014.7;2;1
20200203;1200;1015.3;2;1
20200204;1200;1015.7;2;1
20200205;1200;1015.0;2;1
20200206;1200;1014.2;2;1
20200207;1200;1012.4;2;1
20200208;1200;1013.8;2;1
20200209;1200;1015.6;2;1
20200210;1200;1016.1;2;1
20200211;1200;1014.8;2;1
20200212;1200;1014.6;2;1
20200213;1200;1014.5;2;1
20200214;1200;1014.8;2;1
20200215;1200;1014.7;2;1
20200216;1200;1015.0;2;1
20200217;1200;1015.4;2;1
20200218;1200;1015.7;2;1
20200219;1200;1013.9;2;1
20200220;1200;1013.3;2;1
20200221;1200;1013.1;2;1
20200222;1200;1013.1;2;1
20200223;1200;1014.1;2;1
20200224;1200;1014.3;2;1
20200225;1200;1014.2;2;1
20200226;1200;1012.5;2;1
20200227;1200;1012.2;2;1
20200228;1200;1014.9;2;1
20200229;1200;1015.4;2;1
20200301;1200;1014.5;2;1
20200302;1200;1013.5;2;1
20200303;1200;1013.9;2;1
20200304;1200;1014.2;2;1
20200305;1200;1013.9;2;1
20200306;1200;1012.4;2;1
20200307;1200;1011.7;2;1
20200308;1200;1012.0;2;1
20200309;1200;1013.1;2;1
20200310;1200;1013.6;2;1
20200311;1200;1013.2;2;1
20200312;1200;1014.0;2;1
20200313;1200;1015.2;2;1
20200314;1200;1016.2;2;1
20200315;1200;1015.4;2;1
20200316;1200;1014.5;2;1
20200317;1200;1014.7;2;1
20200318;1200;1014.0;2;1
20200319;1200;1012.3;2;1
20200320;1200;1010.8;2;1
20200321;1200;1010.0;2;1
20200322;1200;1010.6;2;1
20200323;1200;1012.2;2;1
