YYYYMMDD;HHMM;SLP;Q;S
20190101;1200;1017.0;2;1
20190102;1200;1017.7;2;1
20190103;1200;1016.4;2;1
20190104;1200;1016.2;2;1
20190105;1200;1016.2;2;1
20190106;1200;1016.6;2;1
20190107;1200;1017.0;2;1
20190108;1200;1017.0;2;1
20190109;1200;1015.9;2;1
20190110;1200;1015.9;2;1
20190111;1200;1016.2;2;1
20190112;1200;1015.3;2;1
20190113;1200;1015.9;2;1
20190114;1200;1016.3;2;1
20190115;1200;1016.7;2;1
20190116;1200;1017.2;2;1
20190117;1200;1016.6;2;1
20190118;1200;1015.9;2;1
20190119;1200;1015.6;2;1
20190120;1200;1016.9;2;1
20190121;1200;1017.7;2;1
20190122;1200;1017.0;2;1
20190123;1200;1016.8;2;1
20190124;1200;1016.4;2;1
20190125;1200;1015.6;2;1
20190126;1200;1016.4;2;1
20190127;1200;1017.6;2;1
20190128;1200;1017.7;2;1
20190129;1200;1016.9;2;1
20190130;1200;1015.8;2;1
20190131;1200;1015.3;2;1
20190201;1200;1015.8;2;1
20190202;1200;1015.7;2;1
20190203;1200;1013.8;2;1
20190204;1200;1012.6;2;1
20190205;1200;1012.8;2;1
20190206;1200;1013.4;2;1
20190207;1200;1013.0;2;1
20190208;1200;1012.9;2;1
20190209;1200;1013.7;2;1
20190210;1200;1015.0;2;1
20190211;1200;1015.9;2;1
20190212;1200;1014.4;2;1
20190213;1200;1012.4;2;1
20190214;1200;1012.6;2;1
20190215;1200;1011.4;2;1
20190216;1200;1011.3;2;1
20190217;1200;1013.0;2;1
20190218;1200;1014.5;2;1
20190219;1200;1013.7;2;1
20190220;1200;1012.4;2;1
20190221;1200;1013.8;2;1
20190222;1200;1014.6;2;1
20190223;1200;1013.1;2;1
20190224;1200;1011.4;2;1
20190225;1200;1011.2;2;1
20190226;1200;1012.2;2;1
20190227;1200;1013.5;2;1
20190228;1200;1014.3;2;1
20190301;1200;1015.9;2;1
20190302;1200;1016.3;2;1
20190303;1200;1015.1;2;1
20190304;1200;1016.4;2;1
20190305;1200;1016.9;2;1
20190306;1200;1016.4;2;1
20190307;1200;1016.5;2;1
20190308;1200;1015.6;2;1
20190309;1200;1014.9;2;1
20190310;1200;1013.4;2;1
20190311;1200;1013.2;2;1
20190312;1200;1014.5;2;1
20190313;1200;1015.0;2;1
20190314;1200;1014.0;2;1
20190315;1200;1013.1;2;1
20190316;1200;1013.3;2;1
20190317;1200;1013.1;2;1
20190318;1200;1011.9;2;1
20190319;1200;1009.5;2;1
20190320;1200;1007.9;2;1
20190321;1200;1007.7;2;1
20190322;1200;1009.8;2;1
20190323;1200;1011.5;2;1
20190324;1200;1011.8;2;1
