YYYYMMDD;HHMM;SLP;Q;S
20220101;1200;-9.90;2;5
20220102;1200;-9.90;2;5
20220103;1200;-9.90;2;5
20220104;1200;-9.90;2;5
20220105;1200;-9.90;2;5
20220106;1200;-9.90;2;5
20220107;1200;-9.90;2;5
20220108;1200;-9.90;2;5
20220109;1200;-9.90;2;5
20220110;1200;-9.90;2;5
20220111;1200;-9.90;2;5
20220112;1200;-9.90;2;5
20220113;1200;-9.90;2;5
20220114;1200;-9.90;2;5
20220115;1200;-9.90;2;5
20220116;1200;-9.90;2;5
20220117;1200;-9.90;2;5
20220118;1200;-9.90;2;5
20220119;1200;-9.90;2;5
20220120;1200;-9.90;2;5
20220121;1200;-9.90;2;5
20220122;1200;-9.90;2;5
20220123;1200;-9.90;2;5
20220124;1200;-9.90;2;5
20220125;1200;-9.90;2;5
20220126;1200;-9.90;2;5
20220127;1200;-9.90;2;5
20220128;1200;-9.90;2;5
20220129;1200;-9.90;2;5
20220130;1200;-9.90;2;5
20220131;1200;-9.90;2;5
20220201;1200;-9.90;2;5
20220202;1200;-9.90;2;5
20220203;1200;-9.90;2;5
20220204;1200;-9.90;2;5
20220205;1200;-9.90;2;5
20220206;1200;-9.90;2;5
20220207;1200;-9.90;2;5
20220208;1200;-9.90;2;5
20220209;1200;-9.90;2;5
20220210;1200;-9.90;2;5
20220211;1200;-9.90;2;5
20220212;1200;-9.90;2;5
20220213;1200;-9.90;2;5
20220214;1200;-9.90;2;5
20220215;1200;-9.90;2;5
20220216;1200;-9.90;2;5
20220217;1200;-9.90;2;5
20220218;1200;-9.90;2;5
20220219;1200;-9.90;2;5
20220220;1200;-9.90;2;5
20220221;1200;-9.90;2;5
20220222;1200;-9.90;2;5
20220223;1200;-9.90;2;5
20220224;1200;-9.90;2;5
20220225;1200;-9.90;2;5
20220226;1200;-9.90;2;5
20220227;1200;-9.90;2;5
20220228;1200;-9.90;2;5
20220301;1200;-9.90;2;5
20220302;1200;-9.90;2;5
20220303;1200;-9.90;2;5
20220304;1200;-9.90;2;5
20220305;1200;-9.90;2;5
20220306;1200;-9.90;2;5
20220307;1200;-9.90;2;5
20220308;1200;-9.90;2;5
20220309;1200;-9.90;2;5
20220310;1200;-9.90;2;5
20220311;1200;-9.90;2;5
20220312;1200;-9.90;2;5
20220313;1200;-9.90;2;5
20220314;1200;-9.90;2;5
20220315;1200;-9.90;2;5
20220316;1200;-9.90;2;5
20220317;1200;-9.90;2;5
20220318;1200;-9.90;2;5
20220319;1200;-9.90;2;5
20220320;1200;-9.90;2;5
20220321;1200;-9.90;2;5
20220322;1200;-9.90;2;5
20220323;1200;-9.90;2;5
20220324;1200;-9.90;2;5
20220325;1200;-9.90;2;5
20220326;1200;-9.90;2;5
20220327;1200;-9.90;2;5
20220328;1200;-9.90;2;5
20220329;1200;-9.90;2;5
20220330;1200;-9.90;2;5
20220331;1200;-9.90;2;5
20220401;1200;-9.90;2;5
20220402;1200;-9.90;2;5
20220403;1200;-9.90;2;5
20220404;1200;-9.90;2;5
20220405;1200;-9.90;2;5
20220406;1200;-9.90;2;5
20220407;1200;-9.90;2;5
20220408;1200;-9.90;2;5
20220409;1200;-9.90;2;5
20220410;1200;-9.90;2;5
20220411;1200;-9.90;2;5
20220412;1200;-9.90;2;5
20220413;1200;-9.90;2;5
20220414;1200;-9.90;2;5
20220415;1200;-9.90;2;5
20220416;1200;-9.90;2;5
20220417;1200;-9.90;2;5
20220418;1200;-9.90;2;5
20220419;1200;-9.90;2;5
20220420;1200;-9.90;2;5
20220421;1200;-9.90;2;5
20220422;1200;-9.90;2;5
20220423;1200;-9.90;2;5
20220424;1200;-9.90;2;5
20220425;1200;-9.90;2;5
20220426;1200;-9.90;2;5
20220427;1200;-9.90;2;5
20220428;1200;-9.90;2;5
20220429;1200;-9.90;2;5
20220430;1200;-9.90;2;5
20220501;1200;-9.90;2;5
20220502;1200;-9.90;2;5
20220503;1200;-9.90;2;5
20220504;1200;-9.90;2;5
20220505;1200;-9.90;2;5
20220506;1200;-9.90;2;5
20220507;1200;-9.90;2;5
20220508;1200;-9.90;2;5
20220509;1200;-9.90;2;5
20220510;1200;-9.90;2;5
20220511;1200;-9.90;2;5
20220512;1200;-9.90;2;5
20220513;1200;-9.90;2;5
20220514;1200;-9.90;2;5
20220515;1200;-9.90;2;5
20220516;1200;-9.90;2;5
20220517;1200;-9.90;2;5
20220518;1200;-9.90;2;5
20220519;1200;-9.90;2;5
20220520;1200;-9.90;2;5
20220521;1200;1019.6;2;1
20220522;1200;1020.3;2;1
20220523;1200;1019.9;2;1
20220524;1200;1020.3;2;1
20220525;1200;1022.0;2;1
20220526;1200;1021.9;2;1
20220527;1200;1020.3;2;1
20220528;1200;1018.2;2;1
20220529;1200;1016.7;2;1
20220530;1200;1015.4;2;1
20220531;1200;1014.9;2;1
20220601;1200;1015.6;2;1
20220602;1200;1014.8;2;1
20220603;1200;1015.0;2;1
20220604;1200;1015.5;2;1
20220605;1200;1017.6;2;1
20220606;1200;1017.5;2;1
20220607;1200;1015.8;2;1
20220608;1200;1015.1;2;1
20220609;1200;1016.6;2;1
20220610;1200;1016.3;2;1
